ID|Filename|Format|Source Path
1|baby_onboard_4k_30fps.mp4|mp4|/volume1/David/CDAPhotographyLLC/Upload to Blackbox Global/baby_onboard_4k_30fps.mp4
2|beautiful_memories_1080pk_60fps(2).mp4|mp4|/volume1/David/CDAPhotographyLLC/Upload to Blackbox Global/beautiful_memories_1080pk_60fps(2).mp4
3|beautiful_memories_1080p_60fps(1).mp4|mp4|/volume1/David/CDAPhotographyLLC/Upload to Blackbox Global/beautiful_memories_1080p_60fps(1).mp4
4|beautiful_memories_1080p_60fps(3).mp4|mp4|/volume1/David/CDAPhotographyLLC/Upload to Blackbox Global/beautiful_memories_1080p_60fps(3).mp4
5|DJI_0410.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0410.MOV
6|DJI_0409.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0409.MOV
7|DJI_0408.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0408.MOV
8|DJI_0407.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0407.MOV
9|DJI_0406.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0406.MOV
10|DJI_0405.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0405.MOV
11|DJI_0404.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0404.MOV
12|DJI_0403.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0403.MOV
13|DJI_0402.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0402.MOV
14|DJI_0388.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0388.MOV
15|DJI_0387.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0387.MOV
16|DJI_0386.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0386.MOV
17|DJI_0385.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0385.MOV
18|DJI_0384.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0384.MOV
19|DJI_0383.MOV|MOV|/volume1/David/CDAPhotographyLLC/XQD BACKUPS/Synology - USB Copy (2)/3.23.2019 3.35PM/DCIM/100MEDIA/DJI_0383.MOV
